pop_diff,pop_urban_diff,proteins,calories,animal_proteins_prop,GDP,pays
8.02,10.82,55.5,2038,19.44,483.885875,Afghanistan
-0.27,5.42,115.67,3361,53.38,5254.384798,Albanie
6.29,8.01,91.82000000000001,3321,26.92,4153.95722,Alg?rie
10.49,14.06,53.05,2383,30.74,3289.643374,Angola
2.91,1.48,79.91,2442,64.75,16672.74424,Antigua-et-Barbuda
2.98,3.34,106.75,3308,64.68,11719.075678,Argentine
0.9,0.69,94.3,2992,48.05,4220.534194,Arm?nie
4.03,4.46,105.85,3391,66.79,58596.826341,Australie
2.45,1.86,109.05,3694,60.36,51183.781644,Autriche
3.4,5.01,94.38,3145,34.46,4735.14288,Azerba?djan
3.05,3.57,80.55,2654,65.05,33767.76606,Bahamas
3.28,10.2,60.690000000000005,2564,20.71,1670.796355,Bangladesh
0.46,0.43,89.09,2955,57.27,17745.891202,Barbade
0.14,1.47,91.95,3268,56.78,6350.731855,B?larus
1.72,2,99.67,3764,58.76,47354.636623,Belgique
6.13,7.19,71.81,2776,42.92,4884.742421,Belize
8.6,12.45,63.98,2757,19.49,1241.824418,B?nin
4.45,6.16,73.2,2410,48.43,3548.590155,Bolivie (?tat plurinational de)
-3.07,1.34,98.68,3302,37.46,6072.24537,Bosnie-Herz?govine
6.29,9.22,65.59,2339,42.69,8279.835077,Botswana
2.44,3.34,95.66,3300,56.2,9001.172091,Br?sil
-2.06,-0.61,83.11,2857,50.49,9387.813427,Bulgarie
9.06,16.3,80.11,2739,14.24,813.09975,Burkina Faso
3.63,6.14,70.85,2540,36.73,3616.441531,Cabo Verde
4.69,10.35,65.94,2492,28.83,1512.127271,Cambodge
8.23,11.63,71.89,2732,15.68,1534.491991,Cameroun
2.91,2.99,104.4,3567,54.35,46444.396642,Canada
3.85,7.02,44.55,1784,44.38,475.954444,R?publique centrafricaine
9.69,12.24,61.48,2113,16.79,734.731831,Tchad
4.23,2.69,91.58,3028,54.16,15924.794239,Chili
2.58,2.53,128.49,3267,73.11,49065.399951,Chine - RAS de Hong-Kong
4.91,5.24,109.36,3326,64.85,87208.455789,Chine - RAS de Macao
1.48,7.95,101.68,3203,38.99,9732.727625,"Chine, continentale"
4.5,3.87,72.9,3112,51.19,6716.912748,Colombie
8,10.36,57.86,2285,45.61,2547.519151,Congo
3.13,6.34,82.42,3027,55.79,12112.134394,Costa Rica
7.94,10.69,57.55,2777,24.8,2314.03166,C?te d'Ivoire
-1.81,-0.3,90.49,3071,61.58,14674.023127,Croatie
0.12,0.43,84.88,3342,40.59,8821.822004,Cuba
2.44,2.21,91.57,3015,49.79,28967.576681,Chypre
0.61,0.63,86.94,3278,60.77,23337.358877,Tch?quie
1.45,2.48,53.339999999999996,2012,19.1,687.943178,R?publique populaire d?mocratique de Cor?e
1.12,1.56,117.01,3399,68.14,62043.060218,Danemark
4.92,5.23,65.51,2695,21.4,3048.589504,Djibouti
0.62,2.89,79.03,2953,55.55,7687.570293,Dominique
3.36,6.67,66.29,2892,50.51,8050.649783,R?publique dominicaine
5.38,5.15,65.94,2607,46.62,6295.93503,?quateur
6.47,5.77,97.49,3288,27.08,2537.512209,?gypte
1.51,4.96,76.9,2696,35.01,4067.658182,El Salvador
0.58,0.03,105.16,3247,62.22,23154.190901,Estonie
