clust,dim1,dim2
1,-2.795221435942138,0.76296064189431545
2,-1.6351336080058143,-0.3014018925420321
3,0.08276600126451109,-0.3418512205235117
4,1.79987431400929,-0.8090124667817764
5,2.778821053130535,1.3845530701337727
