"Palaos",180,"2012-2014",NA
"Palestine",299,"2012-2014",NA
"Panama",166,"2012-2014",4e+05
"Papouasie-Nouvelle-Guinée",168,"2012-2014",NA
"Paraguay",169,"2012-2014",8e+05
"Pays-Bas",150,"2012-2014",NA
"Pérou",170,"2012-2014",2800000
"Philippines",171,"2012-2014",1.4e+07
"Pologne",173,"2012-2014",NA
"Polynésie française",70,"2012-2014",1e+05
"Porto Rico",177,"2012-2014",NA
"Portugal",174,"2012-2014",NA
"Qatar",179,"2012-2014",NA
"République arabe syrienne",212,"2012-2014",NA
"République centrafricaine",37,"2012-2014",2e+06
"République de Corée",117,"2012-2014",NA
"République de Moldova",146,"2012-2014",NA
"République démocratique du Congo",250,"2012-2014",NA
"République démocratique populaire lao",120,"2012-2014",1200000
"République dominicaine",56,"2012-2014",1300000
"République populaire démocratique de Corée",116,"2012-2014",10600000
"République-Unie de Tanzanie",215,"2012-2014",16400000
"Roumanie",183,"2012-2014",NA
"Royaume-Uni",229,"2012-2014",NA
"Rwanda",184,"2012-2014",3600000
"Sainte-Lucie",189,"2012-2014",NA
"Saint-Kitts-et-Nevis",188,"2012-2014",NA
"Saint-Vincent-et-les Grenadines",191,"2012-2014",1e+05
"Samoa",244,"2012-2014",1e+05
"Samoa américaines",5,"2012-2014",NA
"Sao Tomé-et-Principe",193,"2012-2014",1e+05
"Sénégal",195,"2012-2014",1900000
"Serbie",272,"2012-2014",5e+05
"Seychelles",196,"2012-2014",NA
"Sierra Leone",197,"2012-2014",1600000
"Singapour",200,"2012-2014",NA
"Slovaquie",199,"2012-2014",2e+05
"Slovénie",198,"2012-2014",NA
"Somalie",201,"2012-2014",NA
"Soudan",276,"2012-2014",8300000
"Soudan du Sud",277,"2012-2014",NA
"Sri Lanka",38,"2012-2014",2300000
"Suede",210,"2012-2014",NA
"Suisse",211,"2012-2014",NA
"Suriname",207,"2012-2014",1e+05
"Tadjikistan",208,"2012-2014",NA
"Tchad",39,"2012-2014",4900000
"Tchéquie (la)",167,"2012-2014",NA
"Thailande",216,"2012-2014",5600000
"Timor-Leste",176,"2012-2014",3e+05
"Togo",217,"2012-2014",1300000
"Tokélaou",218,"2012-2014",NA
"Tonga",219,"2012-2014",NA
"Trinité-et-Tobago",220,"2012-2014",1e+05
"Tunisie",222,"2012-2014",5e+05
"Turkménistan",213,"2012-2014",3e+05
"Turquie",223,"2012-2014",NA
"Tuvalu",227,"2012-2014",NA
"Ukraine",230,"2012-2014",NA
"Uruguay",234,"2012-2014",NA
"Vanuatu",155,"2012-2014",1e+05
"Venezuela (République bolivarienne du)",236,"2012-2014",1900000
"Viet Nam",237,"2012-2014",10400000
"Yémen",249,"2012-2014",7200000
"Zambie",251,"2012-2014",7e+06
"Zimbabwe",181,"2012-2014",6600000
